patente_id,nro_registro,nro_expediente_db,nro_expediente_indecopi,tipo,titulo,ipc_codigo,fuente,fuente_url,estado_revision,notas
164,3490,00735-2001,000735-2001/DIN,Patente de invención,PAPILLA INFANTIL INSTANTANEA,A23L 1/305,INDECOPI,https://enlinea.indecopi.gob.pe/appConsultasPublicas/#/procedimientos/propiedad-intelectual/invensiones-tecnologia?form=expediente,verificado,INDECOPI: Nº DE EXPEDIENTE 000735-2001/OIN
522,000985-2006/OIN-INDECOPI,000635-2004/OIN,000635-2004/DIN,Modelo de utilidad,Portabotella,B65D 5/46,INDECOPI,https://enlinea.indecopi.gob.pe/appConsultasPublicas/#/procedimientos/propiedad-intelectual/invensiones-tecnologia?form=expediente,verificado,INDECOPI: Nº DE EXPEDIENTE 000635-2004/OIN
1,6415,354-2009/DIN,000354-2009/DIN,Patente de invención,Procedimiento para obtener agregado de construcción a partir de relaves polimetálicos y ladrillos o baldosas obtenidas de dicho agregado,C04B 35/00,INDECOPI,https://enlinea.indecopi.gob.pe/appConsultasPublicas/#/procedimientos/propiedad-intelectual/invensiones-tecnologia?form=expediente,verificado,
191,1,944-2011,000944-2011/DIN,Patente de invención,PROCEDIMIENTO PARA LA ESCARIFICACION DE SEMILLAS DE TARA (Caesalpinia spinosa),,,,pendiente,
6,8112,1648-2011/DIN,001648-2011/DIN,Patente de invención,Obtención de nanopartículas de cobre (0) mediante la síntesis asistida vía ultrasonido y microondas,B82B 3/00,INDECOPI,https://enlinea.indecopi.gob.pe/appConsultasPublicas/#/procedimientos/propiedad-intelectual/invensiones-tecnologia?form=expediente,verificado,"Revisar: posibles expedientes adicionales 001648-2011; 000704-2016"
6,8112,1648-2011/DIN,001648-2011/DIN,Patente de invención,Obtención de nanopartículas de cobre (0) mediante la síntesis asistida vía ultrasonido y microondas,C06B 45/02,INDECOPI,https://enlinea.indecopi.gob.pe/appConsultasPublicas/#/procedimientos/propiedad-intelectual/invensiones-tecnologia?form=expediente,verificado,"Revisar: posibles expedientes adicionales 001648-2011; 000704-2016"
264,9106,308-2014,000308-2014/DIN,Patente de invención,Procedimiento para la preparación de un extracto estabilizado de camu camu y pantalla solar con actividad antioxidante y fotoprotectora,,,,pendiente,
51,9607,2491-2014/DIN,002491-2014/DIN,Patente de invención,Método para obtener láminas plásticas con propiedades bactericidas que contienen nanopartículas de cobre (0) y cuero residual,,,,pendiente,
152,0789,002270-2015,002270-2015/DIN,Modelo de utilidad,Mesa para determinar la capacidad de anclaje de los pernos de roca,,,,pendiente,
160,001355 2020,002565-2015/DIN,002565-2015/DIN,Patente de invención,PLANTAS DE CAUCHO BACTERICIDAS PARA ZAPATOS Y ZAPATILLAS CON R-CUERO Y NANOCROBRE ANTIBACTERIAL,,,,pendiente,
